SEP=;
caseID;modality;grid;zone;minRho;maxRho;minTheta;maxTheta;Mean;Stdev;Min;Max;N
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;129; 3,815; 4,189;-10,000;10,000;272,621;34,138;122,113;346,662;4026
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;130; 3,815; 4,189;12,500;32,500;275,589;33,885;121,816;366,006;4018
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;131; 3,815; 4,189;35,000;55,000;286,638;21,421;207,568;372,120;4019
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;132; 3,815; 4,189;57,500;77,500;275,801;20,692;170,290;337,835;4016
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;133; 3,815; 4,189;80,000;100,000;258,235;24,199;151,312;326,466;4026
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;134; 3,815; 4,189;102,500;122,500;262,280;26,889;146,570;346,661;4018
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;135; 3,815; 4,189;125,000;145,000;240,493;56,733;69,739;340,196;4019
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;136; 3,815; 4,189;147,500;167,500;221,067;50,921;67,740;324,376;4016
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;137; 3,815; 4,189;170,000;190,000;45,110;16,510;11,313;137,346;4026
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;138; 3,815; 4,189;192,500;212,500;148,757;59,239;26,858;262,899;4018
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;139; 3,815; 4,189;215,000;235,000;226,085;20,813;135,204;290,551;4019
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;140; 3,815; 4,189;237,500;257,500;179,434;63,691;29,582;283,925;4016
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;141; 3,815; 4,189;260,000;280,000;207,451;49,394;53,952;290,372;4026
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;142; 3,815; 4,189;282,500;302,500;236,119;46,460;50,658;322,095;4018
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;143; 3,815; 4,189;305,000;325,000;265,556;23,818;166,163;328,672;4019
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;144; 3,815; 4,189;327,500;347,500;273,277;32,821;122,254;346,396;4016
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;145; 4,189; 4,563;-10,000;10,000;192,564;114,292; 0,000;342,484;2952
QAF.Normals0055.OCT;QAF_aligned_to_Localizer;deLori4;146; 4,189; 4,563;12,500;32,500;258,156;57,293; 0,000;338,538;4111
